yearID,teamID,name,W,payroll,Batting_WAR,Pitching_WAR,Total_WAR,Dollars_per_Win,Dollars_per_WAR,WAR_per_Million,Wins_per_100M
2000,MIL,Milwaukee Brewers,73,36505333,12.269263805,11.528834354999999,23.798098162,500073.05479452055,1533960.0984708301,0.6519074394417933,199.97078235117044
2000,MIN,Minnesota Twins,69,16519500,4.89,16.363333333,21.253333333,239413.04347826086,777266.3111790663,1.2865603276733557,417.6881866884591
2000,MON,Montreal Expos,67,32994333,6.755000000000001,8.853333333999998,15.608333334000001,492452.7313432836,2113892.1301820013,0.47306103548145684,203.06517485896745
2000,NYA,New York Yankees,87,92338260,21.321614907,17.430931678,38.752546585,1061359.3103448276,2382766.247308803,0.4196802775469236,94.21879944456393
2000,NYN,New York Mets,94,79509776,22.490000000000002,18.516666668,41.006666668,845848.6808510638,1938947.55318033,0.5157437076416868,118.22445582037611
2000,OAK,Oakland Athletics,91,31971333,24.169192544,17.417515528,41.586708074,351333.3296703297,768787.2996128893,1.3007498959771242,284.62998399222204
2000,PHI,Philadelphia Phillies,65,47308000,10.57,10.680000001,21.250000001,727815.3846153846,2226258.8234246466,0.449184070368648,137.39748034159126
2000,PIT,Pittsburgh Pirates,69,28928334,9.815000000000001,10.666666666,20.481666666000002,419251.2173913043,1412401.3671222196,0.7080140413893176,238.5204761532413
2000,SDN,San Diego Padres,76,54821000,14.615,9.163333332,23.778333332000003,721328.947368421,2305502.208021616,0.4337449760493242,138.6330056000438
2000,SEA,Seattle Mariners,91,58915000,30.68,15.113333334,45.793333333999996,647417.5824175824,1286540.9812012443,0.7772779993889501,154.45981498769416
2000,SFN,San Francisco Giants,97,53737826,34.445,15.343333336,49.788333336,553998.206185567,1079325.6652586977,0.9265044204802777,180.50599962864146
2000,SLN,St. Louis Cardinals,95,61453863,30.53,14.893333332,45.423333332,646882.7684210526,1352913.98697741,0.7391452890764573,154.58751551550145
2000,TBA,Tampa Bay Devil Rays,69,62765129,9.372857140999999,13.949440992,23.322298133,909639.5507246377,2691206.871727198,0.37158050185796637,109.93365440227169
2000,TEX,Texas Rangers,71,70795921,12.97,9.689999999,22.659999999,997125.647887324,3124268.3584785643,0.3200749376365906,100.28826378288095
2000,TOR,Toronto Blue Jays,83,44838332,21.275000000000002,12.600000002,33.875000002,540220.8674698796,1323640.796969822,0.7554919750806074,185.10947285014976
2001,ANA,Anaheim Angels,75,47535167,19.055,17.073333332,36.128333332,633802.2266666667,1315730.9683559805,0.7600337941802118,157.77792470993106
2001,ARI,Arizona Diamondbacks,92,85082999,23.900000000000002,25.73333333,49.633333332999996,924815.2065217391,1714231.0073990212,0.5833519494652509,108.1297099083214
2001,ATL,Atlanta Braves,88,91936166,18.794999999999998,22.116666666,40.911666666,1044729.1590909091,2247187.0127061913,0.4450007918102654,95.7185880472762
2001,BAL,Baltimore Orioles,63,67599540,10.925,7.4799999989999995,18.404999999,1073008.5714285714,3672889.9757496812,0.2722651662866345,93.1959004454764
2001,BOS,Boston Red Sox,82,110035833,14.957329192000001,20.144347826,35.101677018,1341900.4024390243,3134774.242939278,0.319002238279961,74.52117893268459
2001,CHA,Chicago White Sox,83,65653667,22.155,14.400000001,36.555000000999996,791008.0361445784,1796024.264757324,0.5567853506339562,126.42096594543607
2001,CHN,Chicago Cubs,88,64715833,21.22,18.833333334,40.053333334,735407.1931818182,1615741.502969112,0.6189108828128659,135.97908876487767
2001,CIN,Cincinnati Reds,66,48986000,8.385,9.476666667,17.861666667,742212.1212121212,2742521.2279044036,0.3646279889560283,134.732372514596
2001,CLE,Cleveland Indians,91,93152001,24.835,15.73,40.565,1023648.3626373627,2296363.885122643,0.4354710533808071,97.68979627179453
2001,COL,Colorado Rockies,73,71541334,27.385,10.613333332,37.998333332,980018.2739726028,1882749.2609985613,0.5311381715638682,102.03891361600833
2001,DET,Detroit Tigers,66,53416167,14.515,4.970000000000001,19.485,809335.8636363636,2741399.3841416477,0.36477720312653655,123.55809805671754
2001,FLO,Florida Marlins,76,35762500,19.904999999999998,11.156666669,31.061666668999997,470559.2105263158,1151338.7346884224,0.8685541186717929,212.51310730513805
2001,HOU,Houston Astros,93,60612667,22.17,17.046666664,39.216666664,651749.1075268817,1545584.368995875,0.6470044729099282,153.43327492914972
2001,KCA,Kansas City Royals,65,35422500,14.095,9.339999999,23.434999999,544961.5384615385,1511521.2289955844,0.6615851506528336,183.49918836897453
2001,LAN,Los Angeles Dodgers,86,109105953,17.89,13.989999999,31.879999999000002,1268673.8720930233,3422395.0126544037,0.2921930391735821,78.82246351855795
2001,MIL,Milwaukee Brewers,68,43886833,14.34,7.720000000000001,22.06,645394.6029411765,1989430.326382593,0.5026564573479247,154.94396690688527
2001,MIN,Minnesota Twins,85,24130000,23.95,14.623333334,38.573333334,283882.35294117645,625561.7006459461,1.5985633375051802,352.25859925404063
2001,MON,Montreal Expos,68,35159500,0.6799999999999996,12.110000000000001,12.790000000000001,517051.4705882353,2748983.5809225957,0.36377081585346777,193.40434306517443
2001,NYA,New York Yankees,95,112287143,17.885403727,25.000993788,42.886397519,1181969.9263157896,2618246.0989000844,0.38193506730329757,84.60452146333441
2001,NYN,New York Mets,82,93174428,11.51,15.313333334000001,26.823333334,1136273.512195122,3473633.4533745833,0.28788299439842013,88.00697976917014
2001,OAK,Oakland Athletics,102,33810750,28.745,26.203333333,54.948333333,331477.9411764706,615318.9359738865,1.6251734532064508,301.67919966282915
2001,PHI,Philadelphia Phillies,86,41663833,22.375,12.256666669,34.631666669,484463.17441860464,1203055.9602635219,0.8312165294297335,206.4140378058831
2001,PIT,Pittsburgh Pirates,62,57760833,5.18,5.753333333,10.933333333,931626.3387096775,5283003.01845375,0.1892862821594003,107.33917220342026
2001,SDN,San Diego Padres,79,39182833,18.035,6.820000001,24.855000001,495985.2278481013,1576456.7691982917,0.6343339186576937,201.61890795389908
2001,SEA,Seattle Mariners,116,74720834,47.425,21.603333333,69.028333333,644145.1206896552,1082466.146756561,0.923816419567801,155.24451988852266
2001,SFN,San Francisco Giants,90,63280167,30.485,13.96,44.445,703112.9666666667,1423785.9601754977,0.7023527608579162,142.22465626552471
2001,SLN,St. Louis Cardinals,93,78538333,29.330000000000002,15.536666666,44.866666666,844498.2043010753,1750482.9049294277,0.5712709316863143,118.41351407343977
2001,TBA,Tampa Bay Devil Rays,62,56980000,8.790000000000001,4.763333332999999,13.553333333,919032.2580645161,4204131.824992724,0.23786123785538785,108.81010881010882
2001,TEX,Texas Rangers,73,88633500,24.39,4.573333332000001,28.963333332,1214157.5342465753,3060196.800693299,0.32677636934116333,82.36163527334473
2001,TOR,Toronto Blue Jays,80,76895999,17.03,19.169999998999998,36.199999999,961199.9875,2124198.8674619943,0.47076571563885916,104.0366222435058
2002,ANA,Anaheim Angels,99,61721667,32.26,20.809999999000002,53.069999999,623451.1818181818,1163023.6857200495,0.8598277165618355,160.39748245944168
